STATIONS_ID;MESS_DATUM;QN_6;RS;RSF;SH_TAG;NSH_TAG;eor
          6;20231008;    3;   0.0;   6;   0;   0;eor
          6;20231009;    3;   0.0;   0;   0;   0;eor
          6;20231010;    3;   0.0;   0;   0;   0;eor
          6;20231011;    3;   0.0;   0;   0;   0;eor
          6;20231012;    3;   0.0;   0;   0;   0;eor
          6;20231013;    3;   0.0;   6;   0;   0;eor
          6;20231014;    3;  16.2;   6;   0;   0;eor
          6;20231015;    3;   0.1;   6;   0;   0;eor
          6;20231016;    3;   0.0;   0;   0;   0;eor
          6;20231017;    3;   0.0;   0;   0;   0;eor
          6;20231018;    3;   5.9;   6;   0;   0;eor
          6;20231019;    3;   3.1;   6;   0;   0;eor
          6;20231020;    3;   2.5;   6;   0;   0;eor
          6;20231021;    3;   1.4;   6;   0;   0;eor
          6;20231022;    3;   0.0;   0;   0;   0;eor
          6;20231023;    3;   0.3;   6;   0;   0;eor
          6;20231024;    3;  11.7;   6;   0;   0;eor
          6;20231025;    3;   6.7;   6;   0;   0;eor
          6;20231026;    3;   6.3;   6;   0;   0;eor
          6;20231027;    3;   3.7;   6;   0;   0;eor
          6;20231028;    3;   0.3;   6;   0;   0;eor
          6;20231029;    3;   0.0;   6;   0;   0;eor
          6;20231030;    3;   5.9;   6;   0;   0;eor
          6;20231031;    3;   3.1;   6;   0;   0;eor
          6;20231101;    3;   0.0;   6;   0;   0;eor
          6;20231102;    3;   7.2;   6;   0;   0;eor
          6;20231103;    3;   0.4;   6;   0;   0;eor
          6;20231104;    3;   0.8;   6;   0;   0;eor
          6;20231105;    3;   7.9;   6;   0;   0;eor
          6;20231106;    3;   0.3;   6;   0;   0;eor
          6;20231107;    3;   0.6;   6;   0;   0;eor
          6;20231108;    3;   0.0;   0;   0;   0;eor
          6;20231109;    3;   1.3;   6;   0;   0;eor
          6;20231110;    3;   8.3;   6;   0;   0;eor
          6;20231111;    3;   2.9;   6;   0;   0;eor
          6;20231112;    3;  12.7;   6;   0;   0;eor
          6;20231113;    3;  20.6;   6;   0;   0;eor
          6;20231114;    3;   7.5;   6;   0;   0;eor
          6;20231115;    3;   6.0;   6;   0;   0;eor
          6;20231116;    3;  28.5;   6;   0;   0;eor
          6;20231117;    3;   5.5;   6;   0;   0;eor
          6;20231118;    3;   9.7;   6;   0;   0;eor
          6;20231119;    3;   1.7;   6;   0;   0;eor
          6;20231120;    3;   8.1;   6;   0;   0;eor
          6;20231121;    3;   4.7;   6;   0;   0;eor
          6;20231122;    3;   0.0;   0;   0;   0;eor
          6;20231123;    3;   9.3;   8;   0;   0;eor
          6;20231124;    3;  13.6;   8;   0;   0;eor
          6;20231125;    3;   5.2;   8;   1;   1;eor
          6;20231126;    3;   1.7;   8;   0;   0;eor
          6;20231127;    3;  19.9;   6;   0;   0;eor
          6;20231128;    3;   1.7;   7;   0;   0;eor
          6;20231129;    3;   0.1;   7;   1;   1;eor
          6;20231130;    3;   3.7;   8;   1;   0;eor
          6;20231201;    3;  12.1;   7;   1;   1;eor
          6;20231202;    3;   0.1;   7;  14;  14;eor
          6;20231203;    3;   0.0;   0;  11;   1;eor
          6;20231204;    3;   2.2;   8;  10;   0;eor
          6;20231205;    3;   1.8;   8;   5;   0;eor
          6;20231206;    3;   1.9;   6;   4;   0;eor
          6;20231207;    3;   0.3;   6;   0;   0;eor
          6;20231208;    3;   4.8;   6;   0;   0;eor
          6;20231209;    3;  12.7;   6;   0;   0;eor
          6;20231210;    3;   4.5;   6;   0;   0;eor
          6;20231211;    3;   0.1;   6;   0;   0;eor
          6;20231212;    3;  17.8;   6;   0;   0;eor
          6;20231213;    3;   4.8;   6;   0;   0;eor
          6;20231214;    3;   0.7;   6;   0;   0;eor
          6;20231215;    3;   0.2;   6;   0;   0;eor
          6;20231216;    3;   0.0;   6;   0;   0;eor
          6;20231217;    3;   0.0;   0;   0;   0;eor
          6;20231218;    3;   0.0;   0;   0;   0;eor
          6;20231219;    3;   6.1;   6;   0;   0;eor
          6;20231220;    3;   2.3;   6;   0;   0;eor
          6;20231221;    3;  17.6;   6;   0;   0;eor
          6;20231222;    3;  14.3;   6;   0;   0;eor
          6;20231223;    3;   8.2;   6;   0;   0;eor
          6;20231224;    3;   0.7;   6;   0;   0;eor
          6;20231225;    3;   0.0;   0;   0;   0;eor
          6;20231226;    3;   0.7;   6;   0;   0;eor
          6;20231227;    3;   0.0;   0;   0;   0;eor
          6;20231228;    3;   0.3;   6;   0;   0;eor
          6;20231229;    3;   0.0;   6;   0;   0;eor
          6;20231230;    3;   0.5;   6;   0;   0;eor
          6;20231231;    3;   1.5;   6;   0;   0;eor
          6;20240101;    3;   1.6;   6;   0;   0;eor
          6;20240102;    3;  19.5;   6;   0;   0;eor
          6;20240103;    3;   8.5;   6;   0;   0;eor
          6;20240104;    3;   4.0;   6;   0;   0;eor
          6;20240105;    3;   0.0;   6;   0;   0;eor
          6;20240106;    3;   0.5;   6;   0;   0;eor
          6;20240107;    3;   0.4;   7;   0;   0;eor
          6;20240108;    3;   0.0;   0;   1;   1;eor
          6;20240109;    3;   0.0;   0;   0;   0;eor
          6;20240110;    3;   0.0;   0;   0;   0;eor
          6;20240111;    3;   0.0;   0;   0;   0;eor
          6;20240112;    3;   0.0;   0;   0;   0;eor
          6;20240113;    3;   0.0;   0;   0;   0;eor
          6;20240114;    3;   0.0;   7;   0;   0;eor
          6;20240115;    3;   2.5;   7;   0;   0;eor
          6;20240116;    3;   0.2;   8;   6;   6;eor
          6;20240117;    3;   8.4;   8;   4;   0;eor
          6;20240118;    3;   2.8;   7;   0;   0;eor
          6;20240119;    3;   0.0;   0;   1;   1;eor
          6;20240120;    3;   0.0;   0;   1;   0;eor
          6;20240121;    3;   0.0;   0;   1;   0;eor
          6;20240122;    3;   6.8;   6;   0;   0;eor
          6;20240123;    3;   0.2;   6;   0;   0;eor
          6;20240124;    3;   0.8;   6;   0;   0;eor
          6;20240125;    3;   0.3;   6;   0;   0;eor
          6;20240126;    3;   3.6;   6;   0;   0;eor
          6;20240127;    3;   0.0;   0;   0;   0;eor
          6;20240128;    3;   0.0;   0;   0;   0;eor
          6;20240129;    3;   0.0;   0;   0;   0;eor
          6;20240130;    3;   0.0;   6;   0;   0;eor
          6;20240131;    3;   0.1;   6;   0;   0;eor
          6;20240201;    3;   5.5;   6;   0;   0;eor
          6;20240202;    3;   0.1;   6;   0;   0;eor
          6;20240203;    3;   0.0;   6;   0;   0;eor
          6;20240204;    3;   0.0;   6;   0;   0;eor
          6;20240205;    3;   0.0;   6;   0;   0;eor
          6;20240206;    3;   0.0;   6;   0;   0;eor
          6;20240207;    3;  22.0;   6;   0;   0;eor
          6;20240208;    3;  12.9;   6;   0;   0;eor
          6;20240209;    3;   4.1;   6;   0;   0;eor
          6;20240210;    3;   9.3;   6;   0;   0;eor
          6;20240211;    3;   2.2;   6;   0;   0;eor
          6;20240212;    3;   0.3;   6;   0;   0;eor
          6;20240213;    3;   0.1;   6;   0;   0;eor
          6;20240214;    3;   0.0;   0;   0;   0;eor
          6;20240215;    3;   0.0;   0;   0;   0;eor
          6;20240216;    3;   1.8;   6;   0;   0;eor
          6;20240217;    3;   0.0;   0;   0;   0;eor
          6;20240218;    3;   5.0;   6;   0;   0;eor
          6;20240219;    3;   1.2;   6;   0;   0;eor
          6;20240220;    3;   0.2;   6;   0;   0;eor
          6;20240221;    3;   5.8;   6;   0;   0;eor
          6;20240222;    3;  15.6;   6;   0;   0;eor
          6;20240223;    3;   0.0;   0;   0;   0;eor
          6;20240224;    3;   3.3;   6;   0;   0;eor
          6;20240225;    3;   0.0;   6;   0;   0;eor
          6;20240226;    3;   0.1;   6;   0;   0;eor
          6;20240227;    3;   0.0;   6;   0;   0;eor
          6;20240228;    3;   0.0;   0;   0;   0;eor
          6;20240229;    3;   0.0;   0;   0;   0;eor
          6;20240301;    3;   0.7;   6;   0;   0;eor
          6;20240302;    3;   0.0;   0;   0;   0;eor
          6;20240303;    3;   0.0;   0;   0;   0;eor
          6;20240304;    3;   0.1;   6;   0;   0;eor
          6;20240305;    3;   5.4;   6;   0;   0;eor
          6;20240306;    3;   5.8;   6;   0;   0;eor
          6;20240307;    3;   0.2;   6;   0;   0;eor
          6;20240308;    3;   0.0;   0;   0;   0;eor
          6;20240309;    3;   0.0;   0;   0;   0;eor
          6;20240310;    3;   3.1;   6;   0;   0;eor
          6;20240311;    3;   0.2;   6;   0;   0;eor
          6;20240312;    3;   6.3;   6;   0;   0;eor
          6;20240313;    3;   0.1;   6;   0;   0;eor
          6;20240314;    3;   0.0;   0;   0;   0;eor
          6;20240315;    3;   7.7;   6;   0;   0;eor
          6;20240316;    3;   3.7;   6;   0;   0;eor
          6;20240317;    3;   0.1;   6;   0;   0;eor
          6;20240318;    3;   5.0;   6;   0;   0;eor
          6;20240319;    3;   0.0;   0;   0;   0;eor
          6;20240320;    3;   0.0;   0;   0;   0;eor
          6;20240321;    3;   0.0;   0;   0;   0;eor
          6;20240322;    3;   0.7;   6;   0;   0;eor
          6;20240323;    3;   8.2;   8;   0;   0;eor
          6;20240324;    3;   6.2;   8;   0;   0;eor
          6;20240325;    3;   0.0;   0;   0;   0;eor
          6;20240326;    3;   0.0;   0;   0;   0;eor
          6;20240327;    3;  11.0;   6;   0;   0;eor
          6;20240328;    3;   0.2;   6;   0;   0;eor
          6;20240329;    3;   0.2;   6;   0;   0;eor
          6;20240330;    3;   0.1;   6;   0;   0;eor
          6;20240331;    3;   0.0;   0;   0;   0;eor
          6;20240401;    3;   7.2;   6;   0;   0;eor
          6;20240402;    3;   0.7;   6;   0;   0;eor
          6;20240403;    3;   4.3;   6;   0;   0;eor
          6;20240404;    3;   6.1;   6;   0;   0;eor
          6;20240405;    3;   0.0;   6;   0;   0;eor
          6;20240406;    3;   0.0;   0;   0;   0;eor
          6;20240407;    3;   0.0;   0;   0;   0;eor
          6;20240408;    3;   0.0;   0;   0;   0;eor
          6;20240409;    3;   0.5;   6;   0;   0;eor
          6;20240410;    3;   0.0;   0;   0;   0;eor
          6;20240411;    3;   0.0;   0;   0;   0;eor
          6;20240412;    3;   0.0;   0;   0;   0;eor
          6;20240413;    3;   0.0;   0;   0;   0;eor
          6;20240414;    3;   0.0;   6;   0;   0;eor
          6;20240415;    3;   5.6;   6;   0;   0;eor
          6;20240416;    3;  21.1;   6;   0;   0;eor
          6;20240417;    3;   7.5;   6;   0;   0;eor
          6;20240418;    3;   0.4;   6;   0;   0;eor
          6;20240419;    3;  18.0;   6;   0;   0;eor
          6;20240420;    3;   1.9;   8;   0;   0;eor
          6;20240421;    3;   3.8;   8;   0;   0;eor
          6;20240422;    3;   0.0;   0;   0;   0;eor
          6;20240423;    3;   0.0;   0;   0;   0;eor
          6;20240424;    3;   2.0;   6;   0;   0;eor
          6;20240425;    3;   0.1;   8;   0;   0;eor
          6;20240426;    3;   0.6;   6;   0;   0;eor
          6;20240427;    3;   0.0;   0;   0;   0;eor
          6;20240428;    3;   0.0;   0;   0;   0;eor
          6;20240429;    3;   0.0;   0;   0;   0;eor
          6;20240430;    3;   0.0;   0;   0;   0;eor
          6;20240501;    3;   0.0;   0;   0;   0;eor
          6;20240502;    3;   4.7;   8;   0;   0;eor
          6;20240503;    3;   0.0;   0;   0;   0;eor
          6;20240504;    3;   1.1;   6;   0;   0;eor
          6;20240505;    3;   3.6;   6;   0;   0;eor
          6;20240506;    3;   5.0;   6;   0;   0;eor
          6;20240507;    3;   0.1;   6;   0;   0;eor
          6;20240508;    3;   0.0;   0;   0;   0;eor
          6;20240509;    3;   0.0;   0;   0;   0;eor
          6;20240510;    3;   0.0;   0;   0;   0;eor
          6;20240511;    3;   0.0;   0;   0;   0;eor
          6;20240512;    3;   0.0;   0;   0;   0;eor
          6;20240513;    3;   0.0;   6;   0;   0;eor
          6;20240514;    3;   0.0;   0;   0;   0;eor
          6;20240515;    3;   4.5;   6;   0;   0;eor
          6;20240516;    3;  25.5;   6;   0;   0;eor
          6;20240517;    3;  19.4;   6;   0;   0;eor
          6;20240518;    3;   2.9;   6;   0;   0;eor
          6;20240519;    3;   0.0;   0;   0;   0;eor
          6;20240520;    3;   0.0;   0;   0;   0;eor
          6;20240521;    3;   9.7;   6;   0;   0;eor
          6;20240522;    3;   4.3;   6;   0;   0;eor
          6;20240523;    3;  22.5;   6;   0;   0;eor
          6;20240524;    3;   0.5;   6;   0;   0;eor
          6;20240525;    3;   4.4;   6;   0;   0;eor
          6;20240526;    3;   1.5;   6;   0;   0;eor
          6;20240527;    3;   4.1;   6;   0;   0;eor
          6;20240528;    3;   0.0;   6;   0;   0;eor
          6;20240529;    3;   8.0;   6;   0;   0;eor
          6;20240530;    3;   1.3;   6;   0;   0;eor
          6;20240531;    3;  52.5;   6;   0;   0;eor
          6;20240601;    3;  43.2;   6;   0;   0;eor
          6;20240602;    3;  20.9;   6;   0;   0;eor
          6;20240603;    3;   0.4;   6;   0;   0;eor
          6;20240604;    3;   0.0;   0;   0;   0;eor
          6;20240605;    3;   0.7;   6;   0;   0;eor
          6;20240606;    3;   0.7;   6;   0;   0;eor
          6;20240607;    3;   0.0;   0;   0;   0;eor
          6;20240608;    3;  12.2;   6;   0;   0;eor
